category,russia_item_count,ukraine_item_count,combined_item_count,russia_share_in_category,ukraine_share_in_category,russia_to_ukraine_count_ratio,russia_share_within_side,ukraine_share_within_side
Infantry Fighting Vehicles,6330,1562,7892,0.802078,0.197922,4.052497,0.275457,0.140039
Tanks,4363,1413,5776,0.755367,0.244633,3.087757,0.189861,0.126681
Trucks and similar vehicles,4224,1316,5540,0.762455,0.237545,3.209726,0.183812,0.117985
Armoured Fighting Vehicles,2372,526,2898,0.818496,0.181504,4.509506,0.10322,0.047158
Infantry Mobility Vehicles,423,1768,2191,0.193063,0.806937,0.239253,0.018407,0.158508
Armoured Personnel Carriers,726,1361,2087,0.347868,0.652132,0.533431,0.031593,0.122019
Self-Propelled Artillery,1000,855,1855,0.539084,0.460916,1.169591,0.043516,0.076654
Engineering Vehicles And Equipment,722,285,1007,0.716981,0.283019,2.533333,0.031419,0.025551
Mine-Resistant Ambush Protected (MRAP) Vehicles,64,925,989,0.064712,0.935288,0.069189,0.002785,0.08293
Towed Artillery,532,262,794,0.670025,0.329975,2.030534,0.023151,0.023489
Rocket and Missile Artillery,562,116,678,0.828909,0.171091,4.844828,0.024456,0.0104
Surface-To-Air Missile Systems,416,176,592,0.702703,0.297297,2.363636,0.018103,0.015779
Command Posts And Communications Stations,320,90,410,0.780488,0.219512,3.555556,0.013925,0.008069
Aircraft,177,116,293,0.604096,0.395904,1.525862,0.007702,0.0104
Radars And Communications Equipment,128,145,273,0.468864,0.531136,0.882759,0.00557,0.013
Artillery and Missile Support Vehicles And Equipment,178,34,212,0.839623,0.160377,5.235294,0.007746,0.003048
Helicopters,155,54,209,0.741627,0.258373,2.87037,0.006745,0.004841
Jammers And Deception Systems,95,12,107,0.88785,0.11215,7.916667,0.004134,0.001076
Anti-Aircraft Guns,68,8,76,0.894737,0.105263,8.5,0.002959,0.000717
Self-Propelled Anti-Aircraft Guns,25,49,74,0.337838,0.662162,0.510204,0.001088,0.004393
Naval Ships and Submarines,32,36,68,0.470588,0.529412,0.888889,0.001393,0.003228
Self-Propelled Anti-Tank Missile Systems,47,19,66,0.712121,0.287879,2.473684,0.002045,0.001703
Unmanned Combat Aerial Vehicles,21,26,47,0.446809,0.553191,0.807692,0.000914,0.002331
