category,russia_observed_count,ukraine_observed_count,observed_rate_ratio,p_observed_russia_assumed,p_observed_ukraine_assumed,corrected_russia_count,corrected_ukraine_count,corrected_russia_rate_per_day,corrected_ukraine_rate_per_day,corrected_rate_ratio,rr_still_above_1
Infantry Fighting Vehicles,6330,1562,4.052497,0.4,0.4,15825.0,3905.0,10.176849,2.511254,4.052497,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.4,0.5,15825.0,3124.0,10.176849,2.009003,5.065621,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.4,0.6,15825.0,2603.333333,10.176849,1.674169,6.078745,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.4,0.7,15825.0,2231.428571,10.176849,1.435002,7.091869,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.4,0.8,15825.0,1952.5,10.176849,1.255627,8.104994,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.4,0.9,15825.0,1735.555556,10.176849,1.116113,9.118118,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.4,1.0,15825.0,1562.0,10.176849,1.004502,10.131242,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.5,0.4,12660.0,3905.0,8.141479,2.511254,3.241997,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.5,0.5,12660.0,3124.0,8.141479,2.009003,4.052497,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.5,0.6,12660.0,2603.333333,8.141479,1.674169,4.862996,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.5,0.7,12660.0,2231.428571,8.141479,1.435002,5.673496,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.5,0.8,12660.0,1952.5,8.141479,1.255627,6.483995,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.5,0.9,12660.0,1735.555556,8.141479,1.116113,7.294494,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.5,1.0,12660.0,1562.0,8.141479,1.004502,8.104994,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.6,0.4,10550.0,3905.0,6.784566,2.511254,2.701665,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.6,0.5,10550.0,3124.0,6.784566,2.009003,3.377081,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.6,0.6,10550.0,2603.333333,6.784566,1.674169,4.052497,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.6,0.7,10550.0,2231.428571,6.784566,1.435002,4.727913,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.6,0.8,10550.0,1952.5,6.784566,1.255627,5.403329,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.6,0.9,10550.0,1735.555556,6.784566,1.116113,6.078745,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.6,1.0,10550.0,1562.0,6.784566,1.004502,6.754161,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.7,0.4,9042.857143,3905.0,5.815342,2.511254,2.315712,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.7,0.5,9042.857143,3124.0,5.815342,2.009003,2.894641,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.7,0.6,9042.857143,2603.333333,5.815342,1.674169,3.473569,True
Infantry Fighting Vehicles,6330,1562,4.052497,0.7,0.7,9042.857143,2231.428571,5.815342,1.435002,4.052497,True
