category,russia_observed_count,ukraine_observed_count,observed_rate_ratio,p_observed_russia_assumed,p_observed_ukraine_assumed,corrected_russia_count,corrected_ukraine_count,corrected_russia_rate_per_day,corrected_ukraine_rate_per_day,corrected_rate_ratio,rr_still_above_1
All categories,22980,11154,2.060247,0.4,0.4,57450.0,27885.0,36.945338,17.932476,2.060247,True
All categories,22980,11154,2.060247,0.4,0.5,57450.0,22308.0,36.945338,14.345981,2.575309,True
All categories,22980,11154,2.060247,0.4,0.6,57450.0,18590.0,36.945338,11.954984,3.090371,True
All categories,22980,11154,2.060247,0.4,0.7,57450.0,15934.285714,36.945338,10.247129,3.605433,True
All categories,22980,11154,2.060247,0.4,0.8,57450.0,13942.5,36.945338,8.966238,4.120495,True
All categories,22980,11154,2.060247,0.4,0.9,57450.0,12393.333333,36.945338,7.969989,4.635557,True
All categories,22980,11154,2.060247,0.4,1.0,57450.0,11154.0,36.945338,7.17299,5.150619,True
All categories,22980,11154,2.060247,0.5,0.4,45960.0,27885.0,29.55627,17.932476,1.648198,True
All categories,22980,11154,2.060247,0.5,0.5,45960.0,22308.0,29.55627,14.345981,2.060247,True
All categories,22980,11154,2.060247,0.5,0.6,45960.0,18590.0,29.55627,11.954984,2.472297,True
All categories,22980,11154,2.060247,0.5,0.7,45960.0,15934.285714,29.55627,10.247129,2.884346,True
All categories,22980,11154,2.060247,0.5,0.8,45960.0,13942.5,29.55627,8.966238,3.296396,True
All categories,22980,11154,2.060247,0.5,0.9,45960.0,12393.333333,29.55627,7.969989,3.708445,True
All categories,22980,11154,2.060247,0.5,1.0,45960.0,11154.0,29.55627,7.17299,4.120495,True
All categories,22980,11154,2.060247,0.6,0.4,38300.0,27885.0,24.630225,17.932476,1.373498,True
All categories,22980,11154,2.060247,0.6,0.5,38300.0,22308.0,24.630225,14.345981,1.716873,True
All categories,22980,11154,2.060247,0.6,0.6,38300.0,18590.0,24.630225,11.954984,2.060247,True
All categories,22980,11154,2.060247,0.6,0.7,38300.0,15934.285714,24.630225,10.247129,2.403622,True
All categories,22980,11154,2.060247,0.6,0.8,38300.0,13942.5,24.630225,8.966238,2.746997,True
All categories,22980,11154,2.060247,0.6,0.9,38300.0,12393.333333,24.630225,7.969989,3.090371,True
All categories,22980,11154,2.060247,0.6,1.0,38300.0,11154.0,24.630225,7.17299,3.433746,True
All categories,22980,11154,2.060247,0.7,0.4,32828.571429,27885.0,21.111621,17.932476,1.177284,True
All categories,22980,11154,2.060247,0.7,0.5,32828.571429,22308.0,21.111621,14.345981,1.471605,True
All categories,22980,11154,2.060247,0.7,0.6,32828.571429,18590.0,21.111621,11.954984,1.765926,True
All categories,22980,11154,2.060247,0.7,0.7,32828.571429,15934.285714,21.111621,10.247129,2.060247,True
All categories,22980,11154,2.060247,0.7,0.8,32828.571429,13942.5,21.111621,8.966238,2.354569,True
All categories,22980,11154,2.060247,0.7,0.9,32828.571429,12393.333333,21.111621,7.969989,2.64889,True
All categories,22980,11154,2.060247,0.7,1.0,32828.571429,11154.0,21.111621,7.17299,2.943211,True
All categories,22980,11154,2.060247,0.8,0.4,28725.0,27885.0,18.472669,17.932476,1.030124,True
All categories,22980,11154,2.060247,0.8,0.5,28725.0,22308.0,18.472669,14.345981,1.287655,True
All categories,22980,11154,2.060247,0.8,0.6,28725.0,18590.0,18.472669,11.954984,1.545186,True
All categories,22980,11154,2.060247,0.8,0.7,28725.0,15934.285714,18.472669,10.247129,1.802717,True
All categories,22980,11154,2.060247,0.8,0.8,28725.0,13942.5,18.472669,8.966238,2.060247,True
All categories,22980,11154,2.060247,0.8,0.9,28725.0,12393.333333,18.472669,7.969989,2.317778,True
All categories,22980,11154,2.060247,0.8,1.0,28725.0,11154.0,18.472669,7.17299,2.575309,True
All categories,22980,11154,2.060247,0.9,0.4,25533.333333,27885.0,16.42015,17.932476,0.915666,False
All categories,22980,11154,2.060247,0.9,0.5,25533.333333,22308.0,16.42015,14.345981,1.144582,True
All categories,22980,11154,2.060247,0.9,0.6,25533.333333,18590.0,16.42015,11.954984,1.373498,True
All categories,22980,11154,2.060247,0.9,0.7,25533.333333,15934.285714,16.42015,10.247129,1.602415,True
All categories,22980,11154,2.060247,0.9,0.8,25533.333333,13942.5,16.42015,8.966238,1.831331,True
All categories,22980,11154,2.060247,0.9,0.9,25533.333333,12393.333333,16.42015,7.969989,2.060247,True
All categories,22980,11154,2.060247,0.9,1.0,25533.333333,11154.0,16.42015,7.17299,2.289164,True
All categories,22980,11154,2.060247,1.0,0.4,22980.0,27885.0,14.778135,17.932476,0.824099,False
All categories,22980,11154,2.060247,1.0,0.5,22980.0,22308.0,14.778135,14.345981,1.030124,True
All categories,22980,11154,2.060247,1.0,0.6,22980.0,18590.0,14.778135,11.954984,1.236148,True
All categories,22980,11154,2.060247,1.0,0.7,22980.0,15934.285714,14.778135,10.247129,1.442173,True
All categories,22980,11154,2.060247,1.0,0.8,22980.0,13942.5,14.778135,8.966238,1.648198,True
All categories,22980,11154,2.060247,1.0,0.9,22980.0,12393.333333,14.778135,7.969989,1.854223,True
All categories,22980,11154,2.060247,1.0,1.0,22980.0,11154.0,14.778135,7.17299,2.060247,True
