category,exposure_days,russia_count,ukraine_count,russia_rate_per_day,ukraine_rate_per_day,russia_rate_per_30_days,ukraine_rate_per_30_days,russia_exact_ci_low_per_day,russia_exact_ci_high_per_day,ukraine_exact_ci_low_per_day,ukraine_exact_ci_high_per_day,russia_wald_ci_low_per_day,russia_wald_ci_high_per_day,ukraine_wald_ci_low_per_day,ukraine_wald_ci_high_per_day,russia_score_ci_low_per_day,russia_score_ci_high_per_day,ukraine_score_ci_low_per_day,ukraine_score_ci_high_per_day,rate_ratio_russia_over_ukraine,rate_ratio_ci_low,rate_ratio_ci_high,conditional_poisson_p_value,significant_0_05
Infantry Fighting Vehicles,1555,6330,1562,4.07074,1.004502,122.122186,30.135048,3.971069,4.172279,0.955299,1.055582,3.970458,4.171021,0.954687,1.054316,3.971686,4.172264,0.955907,1.055567,4.052497,3.834197,4.283225,0.0,True
Tanks,1555,4363,1413,2.805788,0.908682,84.173633,27.26045,2.723144,2.890303,0.861914,0.957327,2.722533,2.889043,0.861302,0.956061,2.723759,2.890287,0.862521,0.957312,3.087757,2.907961,3.278669,0.0,True
Trucks and similar vehicles,1555,4224,1316,2.716399,0.846302,81.491961,25.389068,2.635091,2.799577,0.80119,0.893293,2.634481,2.798317,0.800578,0.892026,2.635707,2.799561,0.801797,0.893278,3.209726,3.017145,3.4146,0.0,True
Armoured Fighting Vehicles,1555,2372,526,1.525402,0.338264,45.762058,10.14791,1.464626,1.588052,0.30997,0.368446,1.464015,1.586789,0.309356,0.367171,1.465238,1.588036,0.310565,0.368433,4.509506,4.103038,4.95624,0.0,True
Infantry Mobility Vehicles,1555,423,1768,0.272026,1.136977,8.160772,34.109325,0.246717,0.299226,1.084591,1.19124,0.246103,0.297949,1.08398,1.189975,0.247308,0.299213,1.0852,1.191225,0.239253,0.215172,0.26603,0.0,True
Armoured Personnel Carriers,1555,726,1361,0.466881,0.875241,14.006431,26.257235,0.433533,0.502114,0.829354,0.923007,0.43292,0.500842,0.828742,0.92174,0.434132,0.5021,0.829961,0.922992,0.533431,0.487482,0.583712,0.0,True
Self-Propelled Artillery,1555,1000,855,0.643087,0.549839,19.292605,16.495177,0.603841,0.684214,0.513597,0.587965,0.603229,0.682945,0.512984,0.586695,0.604445,0.684199,0.514198,0.58795,1.169591,1.067544,1.281392,0.000822977,True
Engineering Vehicles And Equipment,1555,722,285,0.464309,0.18328,13.92926,5.498392,0.431054,0.499448,0.162617,0.205841,0.430441,0.498176,0.162001,0.204558,0.431654,0.499434,0.163201,0.205829,2.533333,2.208746,2.90562,0.0,True
Mine-Resistant Ambush Protected (MRAP) Vehicles,1555,64,925,0.041158,0.594855,1.234727,17.845659,0.031696,0.052557,0.557134,0.634459,0.031074,0.051241,0.556521,0.63319,0.032234,0.052552,0.557736,0.634445,0.069189,0.053705,0.089137,0.0,True
Towed Artillery,1555,532,262,0.342122,0.168489,10.263666,5.054662,0.313664,0.372469,0.148703,0.190175,0.31305,0.371194,0.148087,0.188891,0.314259,0.372456,0.149285,0.190163,2.030534,1.751321,2.354262,0.0,True
