side,category,model,evidence_rows,item_count,share_within_side_category
Russia,Infantry Fighting Vehicles,BMP-2(K),1490,1548,0.24455
Russia,Armoured Fighting Vehicles,MT-LB,1505,1527,0.643761
Russia,Trucks and similar vehicles,Ural-4320,1302,1341,0.317472
Russia,Trucks and similar vehicles,KamAZ 6x6,1126,1185,0.28054
Russia,Infantry Fighting Vehicles,BMP-1(P),917,941,0.148657
Russia,Infantry Fighting Vehicles,BTR-82A(M),859,879,0.138863
Russia,Tanks,T-80BV,686,707,0.162044
Russia,Tanks,Unknown tank,568,579,0.132707
Ukraine,Infantry Fighting Vehicles,BMP-1(P),561,569,0.364277
Ukraine,Armoured Personnel Carriers,M113,502,502,0.368846
Russia,Infantry Fighting Vehicles,BMP-3,481,486,0.076777
Ukraine,Tanks,T-64BV,478,481,0.34041
Russia,Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,473,475,0.075039
Russia,Infantry Fighting Vehicles,BTR-82AT,413,413,0.065245
Russia,Infantry Fighting Vehicles,BMD-2,394,401,0.063349
Ukraine,Mine-Resistant Ambush Protected (MRAP) Vehicles,International M1224 MaxxPro,377,381,0.411892
Russia,Armoured Fighting Vehicles,Unknown AFV,366,375,0.158094
Russia,Tanks,T-72B3,368,374,0.085721
Russia,Tanks,T-72B,355,365,0.083658
Ukraine,Self-Propelled Artillery,122mm 2S1 Gvozdika,347,350,0.409357
Russia,Infantry Fighting Vehicles,Unknown BMP-1/2,343,349,0.055134
Ukraine,Infantry Fighting Vehicles,BMP-2(K),322,326,0.208707
Russia,Rocket and Missile Artillery,122mm BM-21 Grad,308,320,0.569395
Russia,Armoured Personnel Carriers,BTR-80,296,299,0.411846
Russia,Tanks,T-72B3 Obr. 2016,288,294,0.067385
Russia,Infantry Fighting Vehicles,BMP-3 688A-sb6-2KP,266,268,0.042338
Russia,Self-Propelled Artillery,152mm 2S19 Msta-S,244,254,0.254
Russia,Armoured Fighting Vehicles,MT-LBVM and MT-LBVMK,244,246,0.10371
Ukraine,Infantry Mobility Vehicles,M1114 and M1151 HMMWV,242,245,0.138575
Ukraine,Trucks and similar vehicles,ZiL-131,215,219,0.166413
Russia,Tanks,Unknown T-72,207,218,0.049966
Russia,Infantry Mobility Vehicles,ASN-233115 'Tigr-M SpN',210,216,0.510638
Russia,Trucks and similar vehicles,(Unknown) truck,191,206,0.048769
Russia,Tanks,T-72B Obr. 2022,202,203,0.046528
Russia,Trucks and similar vehicles,Ural-43206,190,199,0.047112
Ukraine,Trucks and similar vehicles,GAZ-66,186,193,0.146657
Russia,Self-Propelled Artillery,152mm 2S3(M) Akatsiya,187,192,0.192
Russia,Trucks and similar vehicles,Ural-4320 tanker,184,189,0.044744
Ukraine,Infantry Mobility Vehicles,Unknown HMMWV variant,185,185,0.104638
Ukraine,Infantry Fighting Vehicles,M2A2 Bradley ODS-SA,175,180,0.115237
Russia,Towed Artillery,122mm D-30 howitzer,177,177,0.332707
Russia,Self-Propelled Artillery,122mm 2S1 Gvozdika,169,174,0.174
Russia,Infantry Fighting Vehicles,BMD-4M,169,170,0.026856
Russia,Tanks,T-90M,153,154,0.035297
Russia,Trucks and similar vehicles,KamAZ 6x6 tanker,149,152,0.035985
Ukraine,Mine-Resistant Ambush Protected (MRAP) Vehicles,BMC Kirpi,152,152,0.164324
Ukraine,Infantry Fighting Vehicles,BTR-4(E),146,151,0.096671
Ukraine,Tanks,T-64BV Zr. 2017,149,151,0.106865
Russia,Tanks,T-62M,148,150,0.03438
Russia,Tanks,T-80BVM,149,149,0.034151
Ukraine,Infantry Mobility Vehicles,Kozak-7,149,149,0.084276
Ukraine,Mine-Resistant Ambush Protected (MRAP) Vehicles,Roshel Senator MRAP,147,147,0.158919
Russia,Tanks,T-80BV Obr. 2022,145,145,0.033234
Russia,Trucks and similar vehicles,UAZ-452 van,144,144,0.034091
Ukraine,Armoured Personnel Carriers,YPR-765,140,142,0.104335
Ukraine,Infantry Mobility Vehicles,Unknown IMV,141,142,0.080317
Russia,Towed Artillery,152mm 2A65 Msta-B howitzer,122,128,0.240602
Ukraine,Armoured Personnel Carriers,BTR-80,119,124,0.091109
Ukraine,Self-Propelled Artillery,155mm M109A3/A4/A5/A6/L,122,123,0.14386
Ukraine,Tanks,T-72M/M1(R),122,123,0.087049
Ukraine,Trucks and similar vehicles,Ural-4320,119,121,0.091945
Russia,Tanks,T-72B3 Obr. 2022,119,119,0.027275
Russia,Tanks,T-72B Obr. 1989,114,117,0.026816
Ukraine,Armoured Fighting Vehicles,MT-LB,115,117,0.222433
Russia,Tanks,T-80BVM Obr. 2022,111,111,0.025441
Ukraine,Armoured Personnel Carriers,M1126 Stryker,108,108,0.079353
Russia,Trucks and similar vehicles,ZiL-131,107,107,0.025331
Ukraine,Trucks and similar vehicles,Unknown truck,102,107,0.081307
Russia,Trucks and similar vehicles,GAZ-66,106,106,0.025095
Ukraine,Tanks,Unknown tank,106,106,0.075018
Russia,Engineering Vehicles And Equipment,BREM-1 armoured recovery vehicle,104,105,0.145429
Ukraine,Armoured Personnel Carriers,VAB,103,104,0.076414
Russia,Armoured Personnel Carriers,BTR-D,102,103,0.141873
Ukraine,Towed Artillery,155mm M777A2 howitzer,101,103,0.39313
Russia,Tanks,T-80U,99,102,0.023378
Russia,Armoured Personnel Carriers,Unknown BTR-80/82,95,97,0.133609
Russia,Tanks,T-64BV,95,97,0.022232
Ukraine,Infantry Mobility Vehicles,M1152 HMMWV,94,94,0.053167
Ukraine,Trucks and similar vehicles,KrAZ-6322,91,94,0.071429
Ukraine,Armoured Fighting Vehicles,Unknown AFV,92,93,0.176806
Ukraine,Tanks,T-80BV,91,93,0.065817
Russia,Self-Propelled Artillery,152mm 2S5 Giatsint-S,89,92,0.092
Russia,Command Posts And Communications Stations,R-149MA1 command and staff vehicle,90,91,0.284375
Russia,Rocket and Missile Artillery,220mm BM-27 Uragan,84,91,0.161922
Russia,Armoured Personnel Carriers,Remdiesel Z-STS Akhmat,86,86,0.118457
Ukraine,Tanks,T-72AV,86,86,0.060863
Russia,Self-Propelled Artillery,120mm 2S9 Nona,83,85,0.085
Ukraine,Infantry Mobility Vehicles,Novator,85,85,0.048077
Ukraine,Self-Propelled Artillery,152mm 2S3 Akatsiya,85,85,0.099415
Ukraine,Infantry Mobility Vehicles,Kozak-2,83,84,0.047511
