replicate,rate_per_day,rate_per_30_days
1,15.014734,450.442024
2,14.485586,434.567585
3,14.282511,428.475336
4,14.002562,420.076874
5,15.341448,460.243434
6,13.746316,412.389494
7,14.928251,447.847534
8,12.565022,376.950673
9,15.471493,464.144779
10,15.793722,473.811659
11,14.34401,430.320307
12,13.914798,417.443946
13,15.608584,468.257527
14,14.263293,427.898783
15,14.399744,431.992313
16,14.511211,435.336323
17,15.593209,467.796284
18,17.023062,510.691864
19,14.631006,438.930173
20,13.28123,398.436899
21,14.169122,425.073671
22,14.356182,430.685458
23,14.564382,436.931454
24,14.438821,433.164638
25,14.431775,432.953235
26,15.12492,453.747598
27,15.388853,461.665599
28,15.23959,457.1877
29,15.845612,475.368354
30,14.360666,430.819987
31,14.916079,447.482383
32,14.099295,422.97886
33,15.805253,474.157591
34,14.815503,444.465086
35,13.415759,402.472774
36,14.211403,426.342088
37,13.213325,396.399744
38,15.144779,454.34337
39,14.506086,435.182575
40,15.090967,452.72902
41,13.899423,416.982703
42,16.178091,485.342729
43,13.493914,404.817425
44,15.480461,464.413837
45,16.591928,497.757848
46,15.622037,468.661115
47,12.951313,388.539398
48,13.616272,408.488149
49,16.474696,494.240871
50,15.057655,451.72966
51,15.379885,461.396541
52,15.899423,476.982703
53,13.034593,391.037796
54,15.673927,470.217809
55,14.245356,427.360666
56,14.841768,445.253043
57,13.825112,414.753363
58,13.368994,401.069827
59,13.04164,391.249199
60,13.17745,395.323511
61,13.602819,408.084561
62,15.007047,450.211403
63,15.479821,464.394619
64,14.630365,438.910955
65,15.284433,458.532992
66,15.281871,458.456118
67,15.180013,455.400384
68,13.923126,417.693786
69,15.475977,464.279308
70,14.737988,442.139654
71,13.908392,417.251762
72,14.500961,435.028828
73,15.92697,477.809097
74,15.857783,475.733504
75,15.018578,450.557335
76,14.422165,432.664958
77,16.122998,483.689942
78,14.412556,432.376682
79,14.402947,432.088405
80,12.950673,388.520179
81,14.669443,440.08328
82,13.738629,412.158873
83,16.155029,484.650865
84,14.731582,441.94747
85,15.212044,456.361307
86,14.797566,443.92697
87,12.995516,389.865471
88,16.486867,494.606022
89,14.658552,439.756566
90,14.456758,433.702755
91,14.390135,431.704036
92,13.169763,395.092889
93,14.133889,424.016656
94,14.980782,449.423447
95,14.410634,432.319026
96,14.048046,421.441384
97,14.238949,427.168482
98,15.136451,454.09353
99,17.64574,529.372197
100,15.443946,463.318386
101,15.762332,472.869955
102,13.655349,409.660474
103,14.335682,430.070468
104,15.7918,473.754004
105,14.511851,435.355541
106,13.998078,419.942345
107,14.873799,446.213965
108,14.537476,436.124279
109,15.467008,464.01025
110,16.233184,486.995516
111,14.37476,431.242793
112,14.873799,446.213965
113,15.620115,468.603459
114,15.578475,467.35426
115,12.988469,389.654068
116,14.731582,441.94747
117,15.244715,457.341448
118,14.534273,436.028187
119,15.386291,461.588725
120,15.639334,469.180013
121,14.154388,424.631646
122,14.653427,439.602819
123,15.804612,474.138373
124,14.451634,433.549007
125,14.347854,430.435618
126,15.205637,456.169122
127,16.732864,501.985906
128,14.879564,446.386931
129,15.878924,476.367713
130,15.173607,455.2082
131,14.901986,447.059577
132,15.657912,469.737348
133,15.406791,462.203716
134,14.994234,449.827034
135,14.199231,425.976938
136,14.660474,439.814222
137,13.978219,419.346573
138,13.49968,404.990391
139,14.129404,423.882127
140,13.798847,413.965407
141,14.967329,449.019859
142,13.61435,408.430493
143,15.449071,463.472133
144,13.182575,395.477258
145,15.090967,452.72902
146,15.372838,461.185138
147,15.099936,452.998078
148,14.695067,440.852018
149,15.57271,467.181294
150,15.805894,474.17681
151,14.984625,449.538757
152,15.53107,465.932095
153,14.069186,422.075593
154,14.199231,425.976938
155,14.188981,425.669443
156,13.832159,414.964766
157,15.884689,476.540679
158,14.626521,438.795644
159,13.900064,417.001922
160,14.276746,428.30237
161,15.622037,468.661115
162,13.661115,409.83344
163,13.554132,406.623959
164,14.298527,428.955798
165,13.352979,400.589366
166,14.57271,437.181294
167,14.087764,422.632928
168,15.426009,462.780269
169,13.247277,397.418322
170,13.832799,414.983985
171,15.254324,457.629725
172,14.349135,430.474055
173,14.679693,440.390775
174,13.627162,408.814862
175,15.27034,458.110186
176,13.733504,412.005125
177,14.784753,443.542601
178,14.230621,426.918642
179,13.761051,412.831518
180,14.659193,439.775785
181,14.342088,430.262652
182,13.654068,409.622037
183,15.236387,457.091608
184,16.171685,485.150545
185,15.182575,455.477258
186,16.097373,482.921204
187,15.376682,461.300448
188,15.472133,464.163997
189,14.447149,433.414478
190,13.86419,415.925689
191,14.445227,433.356823
192,15.848815,475.464446
193,14.192825,425.784753
194,14.567585,437.027546
195,15.213965,456.418962
196,13.227418,396.82255
197,14.837924,445.137732
198,16.557335,496.720051
199,15.226137,456.784113
200,15.340167,460.204997
201,15.969891,479.096733
202,16.125561,483.766816
203,13.27034,398.110186
204,14.005766,420.172966
205,14.27098,428.129404
206,15.229981,456.899423
207,13.830237,414.907111
208,15.497758,464.932735
209,14.820628,444.618834
210,14.757848,442.735426
211,14.649584,439.487508
212,14.850737,445.522101
213,14.119795,423.59385
214,13.409353,402.280589
215,13.61435,408.430493
216,14.046765,421.402947
217,14.393338,431.800128
218,14.293402,428.80205
219,15.513773,465.413197
220,15.162076,454.862268
221,16.360026,490.800769
222,15.660474,469.814222
223,13.810378,414.311339
224,14.950032,448.500961
225,15.049968,451.499039
226,15.694427,470.832799
227,13.868033,416.040999
228,14.50993,435.297886
229,14.723254,441.69763
230,14.186419,425.592569
231,15.136451,454.09353
232,14.002562,420.076874
233,13.467008,404.01025
234,14.623959,438.71877
235,15.233184,456.995516
236,14.529148,435.874439
237,14.721332,441.639974
238,16.737988,502.139654
239,16.930814,507.924407
240,13.788597,413.657912
241,17.01089,510.326714
242,14.121076,423.632287
243,14.53171,435.951313
244,15.426009,462.780269
245,14.889814,446.694427
246,14.695067,440.852018
247,13.961563,418.846893
248,14.473414,434.202434
249,14.600256,438.007687
250,15.536195,466.085842
251,13.492633,404.778988
252,14.297245,428.917361
253,14.233184,426.995516
254,14.631006,438.930173
255,16.144779,484.34337
256,17.038437,511.153107
257,13.866111,415.983344
258,14.868674,446.060218
259,13.597694,407.930814
260,13.524664,405.73991
261,12.944266,388.327995
262,14.356823,430.704676
263,14.443306,433.299167
264,14.941063,448.231903
265,14.297245,428.917361
266,14.482383,434.471493
267,16.983344,509.50032
268,15.141576,454.247277
269,15.011531,450.345932
270,15.028828,450.86483
271,14.532992,435.98975
272,15.467649,464.029468
273,14.27034,428.110186
274,14.866752,446.002562
275,13.798206,413.946188
276,13.484305,404.529148
277,15.199872,455.996156
278,15.420884,462.626521
279,15.262012,457.860346
280,13.691864,410.755926
281,15.08328,452.498398
282,15.01025,450.307495
283,15.128764,453.862908
284,14.668802,440.064061
285,16.128123,483.84369
286,14.858424,445.752723
287,14.452915,433.587444
288,13.794363,413.830878
289,15.026906,450.807175
290,16.217168,486.515054
291,13.34337,400.301089
292,14.594491,437.834721
293,14.11467,423.440102
294,12.732864,381.985906
295,15.236387,457.091608
296,14.373479,431.204356
297,15.189622,455.688661
298,14.435618,433.068546
