week_start,status,loss_count,rate_per_day,rate_per_30_days
2022-02-21,Abandoned,0,0.0,0.0
2022-02-21,Captured,120,17.142857,514.285714
2022-02-21,Damaged,9,1.285714,38.571429
2022-02-21,Destroyed,189,27.0,810.0
2022-02-28,Abandoned,1,0.142857,4.285714
2022-02-28,Captured,275,39.285714,1178.571429
2022-02-28,Damaged,5,0.714286,21.428571
2022-02-28,Destroyed,304,43.428571,1302.857143
2022-03-07,Abandoned,0,0.0,0.0
2022-03-07,Captured,104,14.857143,445.714286
2022-03-07,Damaged,10,1.428571,42.857143
2022-03-07,Destroyed,181,25.857143,775.714286
2022-03-14,Abandoned,0,0.0,0.0
2022-03-14,Captured,145,20.714286,621.428571
2022-03-14,Damaged,11,1.571429,47.142857
2022-03-14,Destroyed,276,39.428571,1182.857143
2022-03-21,Abandoned,0,0.0,0.0
2022-03-21,Captured,100,14.285714,428.571429
2022-03-21,Damaged,8,1.142857,34.285714
2022-03-21,Destroyed,202,28.857143,865.714286
2022-03-28,Abandoned,0,0.0,0.0
2022-03-28,Captured,246,35.142857,1054.285714
2022-03-28,Damaged,1,0.142857,4.285714
2022-03-28,Destroyed,499,71.285714,2138.571429
2022-04-04,Abandoned,0,0.0,0.0
2022-04-04,Captured,90,12.857143,385.714286
2022-04-04,Damaged,5,0.714286,21.428571
2022-04-04,Destroyed,274,39.142857,1174.285714
2022-04-11,Abandoned,0,0.0,0.0
2022-04-11,Captured,46,6.571429,197.142857
2022-04-11,Damaged,5,0.714286,21.428571
2022-04-11,Destroyed,137,19.571429,587.142857
2022-04-18,Abandoned,0,0.0,0.0
2022-04-18,Captured,33,4.714286,141.428571
2022-04-18,Damaged,4,0.571429,17.142857
2022-04-18,Destroyed,91,13.0,390.0
2022-04-25,Abandoned,0,0.0,0.0
2022-04-25,Captured,14,2.0,60.0
2022-04-25,Damaged,4,0.571429,17.142857
2022-04-25,Destroyed,169,24.142857,724.285714
2022-05-02,Abandoned,0,0.0,0.0
2022-05-02,Captured,27,3.857143,115.714286
2022-05-02,Damaged,6,0.857143,25.714286
2022-05-02,Destroyed,168,24.0,720.0
2022-05-09,Abandoned,0,0.0,0.0
2022-05-09,Captured,43,6.142857,184.285714
2022-05-09,Damaged,7,1.0,30.0
2022-05-09,Destroyed,172,24.571429,737.142857
2022-05-16,Abandoned,0,0.0,0.0
