week_start,type,loss_count,rate_per_day,rate_per_30_days
2022-02-21,Airplanes,4,0.571429,17.142857
2022-02-21,"Ambulances, medical vehicles",0,0.0,0.0
2022-02-21,Anti-aircraft systems,16,2.285714,68.571429
2022-02-21,Anti-tank systems,3,0.428571,12.857143
2022-02-21,"Command posts, communication",23,3.285714,98.571429
2022-02-21,Drones,0,0.0,0.0
2022-02-21,Engineering,37,5.285714,158.571429
2022-02-21,Helicopters,7,1.0,30.0
2022-02-21,Infantry fighting vehicles,70,10.0,300.0
2022-02-21,Infantry mobility vehicles,18,2.571429,77.142857
2022-02-21,Other,0,0.0,0.0
2022-02-21,"Radars, jammers",1,0.142857,4.285714
2022-02-21,Rocket and missile artillery,5,0.714286,21.428571
2022-02-21,Self-propelled artillery,2,0.285714,8.571429
2022-02-21,Tanks,42,6.0,180.0
2022-02-21,Towed artillery,3,0.428571,12.857143
2022-02-21,Transport,87,12.428571,372.857143
2022-02-21,Vessels,0,0.0,0.0
2022-02-28,Airplanes,7,1.0,30.0
2022-02-28,"Ambulances, medical vehicles",8,1.142857,34.285714
2022-02-28,Anti-aircraft systems,17,2.428571,72.857143
2022-02-28,Anti-tank systems,1,0.142857,4.285714
2022-02-28,"Command posts, communication",22,3.142857,94.285714
2022-02-28,Drones,2,0.285714,8.571429
2022-02-28,Engineering,16,2.285714,68.571429
2022-02-28,Helicopters,8,1.142857,34.285714
2022-02-28,Infantry fighting vehicles,150,21.428571,642.857143
2022-02-28,Infantry mobility vehicles,16,2.285714,68.571429
2022-02-28,Other,0,0.0,0.0
2022-02-28,"Radars, jammers",4,0.571429,17.142857
2022-02-28,Rocket and missile artillery,8,1.142857,34.285714
2022-02-28,Self-propelled artillery,19,2.714286,81.428571
2022-02-28,Tanks,76,10.857143,325.714286
2022-02-28,Towed artillery,17,2.428571,72.857143
2022-02-28,Transport,214,30.571429,917.142857
2022-02-28,Vessels,0,0.0,0.0
2022-03-07,Airplanes,4,0.571429,17.142857
2022-03-07,"Ambulances, medical vehicles",3,0.428571,12.857143
2022-03-07,Anti-aircraft systems,10,1.428571,42.857143
2022-03-07,Anti-tank systems,0,0.0,0.0
2022-03-07,"Command posts, communication",10,1.428571,42.857143
2022-03-07,Drones,4,0.571429,17.142857
2022-03-07,Engineering,13,1.857143,55.714286
2022-03-07,Helicopters,11,1.571429,47.142857
2022-03-07,Infantry fighting vehicles,87,12.428571,372.857143
2022-03-07,Infantry mobility vehicles,14,2.0,60.0
2022-03-07,Other,1,0.142857,4.285714
2022-03-07,"Radars, jammers",2,0.285714,8.571429
2022-03-07,Rocket and missile artillery,3,0.428571,12.857143
2022-03-07,Self-propelled artillery,10,1.428571,42.857143
2022-03-07,Tanks,49,7.0,210.0
2022-03-07,Towed artillery,1,0.142857,4.285714
2022-03-07,Transport,73,10.428571,312.857143
2022-03-07,Vessels,0,0.0,0.0
2022-03-14,Airplanes,3,0.428571,12.857143
2022-03-14,"Ambulances, medical vehicles",4,0.571429,17.142857
2022-03-14,Anti-aircraft systems,6,0.857143,25.714286
2022-03-14,Anti-tank systems,5,0.714286,21.428571
2022-03-14,"Command posts, communication",17,2.428571,72.857143
2022-03-14,Drones,5,0.714286,21.428571
2022-03-14,Engineering,21,3.0,90.0
2022-03-14,Helicopters,13,1.857143,55.714286
