omitted_week_start,omitted_week_end,omitted_loss_count,jackknife_rate_per_day
2022-02-21,2022-02-27,318,14.556628
2022-02-28,2022-03-06,585,14.384813
2022-03-07,2022-03-13,295,14.571429
2022-03-14,2022-03-20,432,14.483269
2022-03-21,2022-03-27,310,14.561776
2022-03-28,2022-04-03,746,14.28121
2022-04-04,2022-04-10,369,14.52381
2022-04-11,2022-04-17,188,14.640283
2022-04-18,2022-04-24,128,14.678893
2022-04-25,2022-05-01,187,14.640927
2022-05-02,2022-05-08,201,14.631918
2022-05-09,2022-05-15,222,14.618404
2022-05-16,2022-05-22,101,14.696268
2022-05-23,2022-05-29,51,14.728443
2022-05-30,2022-06-05,134,14.675032
2022-06-06,2022-06-12,115,14.687259
2022-06-13,2022-06-19,105,14.693694
2022-06-20,2022-06-26,81,14.709138
2022-06-27,2022-07-03,128,14.678893
2022-07-04,2022-07-10,98,14.698198
2022-07-11,2022-07-17,61,14.722008
2022-07-18,2022-07-24,64,14.720077
2022-07-25,2022-07-31,89,14.70399
2022-08-01,2022-08-07,63,14.720721
2022-08-08,2022-08-14,92,14.702059
2022-08-15,2022-08-21,44,14.732947
2022-08-22,2022-08-28,85,14.706564
2022-08-29,2022-09-04,133,14.675676
2022-09-05,2022-09-11,373,14.521236
2022-09-12,2022-09-18,406,14.5
2022-09-19,2022-09-25,176,14.648005
2022-09-26,2022-10-02,252,14.599099
2022-10-03,2022-10-09,289,14.57529
2022-10-10,2022-10-16,155,14.661519
2022-10-17,2022-10-23,132,14.676319
2022-10-24,2022-10-30,132,14.676319
2022-10-31,2022-11-06,121,14.683398
2022-11-07,2022-11-13,229,14.6139
2022-11-14,2022-11-20,127,14.679537
2022-11-21,2022-11-27,66,14.71879
2022-11-28,2022-12-04,271,14.586873
2022-12-05,2022-12-11,73,14.714286
2022-12-12,2022-12-18,45,14.732304
2022-12-19,2022-12-25,37,14.737452
2022-12-26,2023-01-01,89,14.70399
2023-01-02,2023-01-08,54,14.726512
2023-01-09,2023-01-15,60,14.722651
2023-01-16,2023-01-22,50,14.729086
2023-01-23,2023-01-29,66,14.71879
2023-01-30,2023-02-05,69,14.71686
2023-02-06,2023-02-12,113,14.688546
2023-02-13,2023-02-19,69,14.71686
2023-02-20,2023-02-26,77,14.711712
2023-02-27,2023-03-05,142,14.669884
2023-03-06,2023-03-12,57,14.724582
2023-03-13,2023-03-19,80,14.709781
2023-03-20,2023-03-26,86,14.70592
2023-03-27,2023-04-02,65,14.719434
2023-04-03,2023-04-09,52,14.727799
2023-04-10,2023-04-16,43,14.733591
2023-04-17,2023-04-23,44,14.732947
2023-04-24,2023-04-30,73,14.714286
2023-05-01,2023-05-07,57,14.724582
2023-05-08,2023-05-14,56,14.725225
2023-05-15,2023-05-21,72,14.714929
2023-05-22,2023-05-28,73,14.714286
2023-05-29,2023-06-04,86,14.70592
2023-06-05,2023-06-11,74,14.713642
2023-06-12,2023-06-18,98,14.698198
2023-06-19,2023-06-25,90,14.703346
2023-06-26,2023-07-02,79,14.710425
2023-07-03,2023-07-09,92,14.702059
2023-07-10,2023-07-16,87,14.705277
2023-07-17,2023-07-23,105,14.693694
2023-07-24,2023-07-30,93,14.701416
2023-07-31,2023-08-06,92,14.702059
2023-08-07,2023-08-13,72,14.714929
2023-08-14,2023-08-20,87,14.705277
2023-08-21,2023-08-27,87,14.705277
2023-08-28,2023-09-03,131,14.676963
2023-09-04,2023-09-10,105,14.693694
2023-09-11,2023-09-17,52,14.727799
2023-09-18,2023-09-24,72,14.714929
2023-09-25,2023-10-01,98,14.698198
2023-10-02,2023-10-08,72,14.714929
2023-10-09,2023-10-15,151,14.664093
2023-10-16,2023-10-22,145,14.667954
2023-10-23,2023-10-29,83,14.707851
2023-10-30,2023-11-05,135,14.674389
2023-11-06,2023-11-12,84,14.707207
2023-11-13,2023-11-19,76,14.712355
2023-11-20,2023-11-26,40,14.735521
2023-11-27,2023-12-03,85,14.706564
2023-12-04,2023-12-10,83,14.707851
2023-12-11,2023-12-17,70,14.716216
2023-12-18,2023-12-24,91,14.702703
2023-12-25,2023-12-31,116,14.686615
2024-01-01,2024-01-07,82,14.708494
2024-01-08,2024-01-14,81,14.709138
2024-01-15,2024-01-21,105,14.693694
2024-01-22,2024-01-28,87,14.705277
2024-01-29,2024-02-04,97,14.698842
2024-02-05,2024-02-11,72,14.714929
