week_start,week_end,loss_count,rate_per_day,rate_per_30_days
2022-02-21,2022-02-27,318,45.428571,1362.857143
2022-02-28,2022-03-06,585,83.571429,2507.142857
2022-03-07,2022-03-13,295,42.142857,1264.285714
2022-03-14,2022-03-20,432,61.714286,1851.428571
2022-03-21,2022-03-27,310,44.285714,1328.571429
2022-03-28,2022-04-03,746,106.571429,3197.142857
2022-04-04,2022-04-10,369,52.714286,1581.428571
2022-04-11,2022-04-17,188,26.857143,805.714286
2022-04-18,2022-04-24,128,18.285714,548.571429
2022-04-25,2022-05-01,187,26.714286,801.428571
2022-05-02,2022-05-08,201,28.714286,861.428571
2022-05-09,2022-05-15,222,31.714286,951.428571
2022-05-16,2022-05-22,101,14.428571,432.857143
2022-05-23,2022-05-29,51,7.285714,218.571429
2022-05-30,2022-06-05,134,19.142857,574.285714
2022-06-06,2022-06-12,115,16.428571,492.857143
2022-06-13,2022-06-19,105,15.0,450.0
2022-06-20,2022-06-26,81,11.571429,347.142857
2022-06-27,2022-07-03,128,18.285714,548.571429
2022-07-04,2022-07-10,98,14.0,420.0
2022-07-11,2022-07-17,61,8.714286,261.428571
2022-07-18,2022-07-24,64,9.142857,274.285714
2022-07-25,2022-07-31,89,12.714286,381.428571
2022-08-01,2022-08-07,63,9.0,270.0
2022-08-08,2022-08-14,92,13.142857,394.285714
2022-08-15,2022-08-21,44,6.285714,188.571429
2022-08-22,2022-08-28,85,12.142857,364.285714
2022-08-29,2022-09-04,133,19.0,570.0
2022-09-05,2022-09-11,373,53.285714,1598.571429
2022-09-12,2022-09-18,406,58.0,1740.0
2022-09-19,2022-09-25,176,25.142857,754.285714
2022-09-26,2022-10-02,252,36.0,1080.0
2022-10-03,2022-10-09,289,41.285714,1238.571429
2022-10-10,2022-10-16,155,22.142857,664.285714
2022-10-17,2022-10-23,132,18.857143,565.714286
2022-10-24,2022-10-30,132,18.857143,565.714286
2022-10-31,2022-11-06,121,17.285714,518.571429
2022-11-07,2022-11-13,229,32.714286,981.428571
2022-11-14,2022-11-20,127,18.142857,544.285714
2022-11-21,2022-11-27,66,9.428571,282.857143
2022-11-28,2022-12-04,271,38.714286,1161.428571
2022-12-05,2022-12-11,73,10.428571,312.857143
2022-12-12,2022-12-18,45,6.428571,192.857143
2022-12-19,2022-12-25,37,5.285714,158.571429
2022-12-26,2023-01-01,89,12.714286,381.428571
2023-01-02,2023-01-08,54,7.714286,231.428571
2023-01-09,2023-01-15,60,8.571429,257.142857
2023-01-16,2023-01-22,50,7.142857,214.285714
2023-01-23,2023-01-29,66,9.428571,282.857143
2023-01-30,2023-02-05,69,9.857143,295.714286
2023-02-06,2023-02-12,113,16.142857,484.285714
2023-02-13,2023-02-19,69,9.857143,295.714286
